,Color,Fabric,Id,Padding,Price,Rating,Style,StyleOutput,Preference,fileImages,linksPages
110,nude,silicone,611,lightly lined cup,$75 ,4.0,strapless,default,strapless,FF_Nubra_BQ845.jpg,https://trueandco.com/bras/fashion-forms/nubra/611
111,nude,"nylon, spandex, polyester",89,lightly lined cup,$68 ,4.0,convertible strapless bra,default,strapless,Natori_Calais_nude.jpg,https://trueandco.com/bras/natori/calais/89
112,cabernet grove,"pima cotton, modal, and spandex",3226,unlined cup,$24 ,5.0,tank bralette,default,bralette,CK_ModernCotton_Bralette_Wine.jpg,https://trueandco.com/bras/calvin-klein/modern-cotton/3226
113,nude,nylon and elastane,722,slight pushup,$46 ,4.0,multi-way demi with removable pads,demi,multiway,CK_Perfectly_Fit_F3223_Nude.jpg,https://trueandco.com/bras/calvin-klein/perfectly-fit-5-way/722
114,cafe,nylon and spandex,1837,lightly lined cup,$60 ,4.0,demi bra,demi,default,Natori_GeoIcon_Nude.,https://trueandco.com/bras/natori/geo-icon/1837
115,black,nylon and spandex,1234,lightly lined cup,$68 ,4.0,demi bra,demi,default,LeMystere9978BlackBra.jpg,https://trueandco.com/bras/le-mystere/safari/1234
116,powder,"nylon, polyester, and spandex",1053,unlined cup,$60 ,4.0,unlined demi,demi,default,PTT_Nude_Nude107_UnderwireTriangle_Powder.jpg,https://trueandco.com/bras/princesse-tam-tam/nude/1053
117,black/cafe,"nylon, spandex, polyester",88,lightly lined cup,$68 ,4.0,convertible strapless bra,default,strapless,Natori_Calais_black.jpg,https://trueandco.com/bras/natori/calais/88
118,crush,polyester and spandex,2768,lightly lined cup,$46 ,4.0,compression sports bra,full,default,MovingComfort_Fiona_SportsBra_Crush.jpg,https://trueandco.com/bras/moving-comfort/fiona/2768
119,hot pink polka dot,"nylon, polyester, and spandex",2526,unlined cup,$72 ,3.0,full coverage longline bra,full,default,Claudette_Bralette_PinkGrey.jpg,https://trueandco.com/bras/claudette/dessous-longline/2526
