,Color,Fabric,Id,Padding,Price,Rating,Style,StyleOutput,Preference,fileImages,linksPages
120,naturally nude,"nylon, spandex",3139,lightly lined cup,$65 ,5.0,full coverage,full,default,Wacoal_AwarenessSeamless_Bra_Nude.jpg,https://trueandco.com/bras/wacoal/awareness-seamless/3139
121,naturally nude,"nylon, spandex",3141,lightly lined cup,$60 ,5.0,"lined, contour cup demi",demi,default,Wacoal_EmbraceLaceContour_Bra_Nude.jpg,https://trueandco.com/bras/wacoal-america/embrace-lace-uw/3141
122,black,nylon and spandex,744,maximum pushup,$48 ,4.0,wirefree push-up,default,wirefree,CK_Push_Positive_F3495_Black.jpg,https://trueandco.com/bras/calvin-klein/push-positive/744
123,cerulean blue/morning glory,polyester and spandex,2758,lightly lined cup,$64 ,5.0,encapsulation sports bra,full,sports,Natori_PowerYogi_SportsBra_CeruleanGlory.jpg,https://trueandco.com/bras/natori/power-yogi/2758
124,black,"nylon, elastane",2573,unlined cup,$50 ,4.0,full coverage,full,default,Parfait_Carole_Bra_black.jpg,https://trueandco.com/bras/parfait/carole/2573
125,black,"nylon, elastane, cotton",356,unlined cup,$62 ,4.0,full coverage bra,full,default,Panache_Andorra_5675_Black.jpg,https://trueandco.com/bras/panache/andorra/356
126,royal,nylon and spandex,465,medium pushup,$45 ,4.0,demi bra,demi,default,TCPosh30506Royal.jpg,https://trueandco.com/bras/josie/posh/465
127,deep sea blue,nylon and spandex,2317,lightly lined cup,$68 ,5.0,plunge,plunge,default,Natori_Feathers_Bra_DeepSeaBlue.jpg,https://trueandco.com/bras/natori/feathers/2317
128,black/pink lightening,nylon and spandex,1795,lightly lined cup,$48 ,4.0,longline bra,default,longline,Josie847166SpicyEssentialsBlackPinkLighteningALTERNATE.jpg,https://trueandco.com/bras/josie/spicy-essentials/1795
129,black,"nylon, elastane",3197,lightly lined cup,$46 ,5.0,t-shirt bra,default,t-shirt,CK_PerfectlyFitModernTShirtBra_Bra_Black.jpg,https://trueandco.com/bras/calvin-klein/perfectly-fit-modern-t-shirt-bra/3197
130,burgundy,nylon and spandex,2319,lightly lined cup,$68 ,5.0,plunge,plunge,default,Natori_Feathers_Bra_Burgundy.jpg,https://trueandco.com/bras/natori/feathers/2319
131,crimson,polyester and spandex,2774,lightly lined cup,$56 ,4.0,wirefree encapsulation sports bra,default,wirefree,MovingComfort_Juno_SportsBra_Crimson.jpg,https://trueandco.com/bras/moving-comfort/juno/2774
132,black,"poylester, nylon, and spandex",640,unlined cup,$58 ,4.0,demi bra,demi,default,Claudette_Dessous_Bra_Black.jpg,https://trueandco.com/bras/claudette/dessous/640
133,cappuccino,"nylon, polyester, and spandex",1352,lightly lined cup,$76 ,4.0,full coverage bra,full,default,Chantelle_RiveGauche_65293_FullCoverageBra_Cappuccino.jpg,https://trueandco.com/bras/chantelle/rive-gauche/1352
134,black,polyester and spandex,1658,lightly lined cup,$56 ,5.0,wirefree encapsulation sports bra,default,wirefree,MovingComfort_Juno_350025001_SportsBra_Black_Front.jpg,https://trueandco.com/bras/moving-comfort/juno/1658
135,powder,"polyamide, polyester, elastane",1051,slight pushup,$60 ,4.0,demi bra,demi,default,TCNude63734Nude.jpg,https://trueandco.com/bras/princesse-tam-tam/nude/1051
136,mauve,cotton,638,unlined cup,$38 ,3.0,demi bra,demi,default,Claudette_Cool_Cotton_CD_8008_Mauve.jpg,https://trueandco.com/bras/claudette/cool-cotton/638
137,cobalt,"polyester, spandex and nylon",1841,lightly lined cup,$60 ,4.0,plunge bra,plunge,default,Freya_DecoHoney_AA1254_Cobalt.jpg,https://trueandco.com/bras/freya/deco/1841
138,passion pink,nylon and spandex,1455,lightly lined cup,$68 ,5.0,full coverage,full,default,Natori_HiddenGlamour_DemiBra_Passion_Pink.jpg,https://trueandco.com/bras/natori/hidden-glamour/1455
139,delilah,nylon and spandex,1627,lightly lined cup,$42 ,4.0,demi bra,demi,default,CK_Icon_F3646_Delilah.jpg,https://trueandco.com/bras/calvin-klein/icon/1627
140,black,lace,527,unlined cup,$45 ,4.0,plunge,plunge,default,Lelieve_994_Black_web.jpg,https://trueandco.com/bras/leilieve/feel-good/527
141,champagne,nylon,1166,slight pushup,$46 ,4.0,demi bra,demi,default,OG_Gossamer_Mesh_3201_Nude.jpg,https://trueandco.com/bras/ongossamer/gossamer-mesh/1166
142,black,nylon and spandex,2523,lightly lined cup,$52 ,4.0,racerback,default,racerback,Montelle_Pure_Racer_9140_black.jpg,https://trueandco.com/bras/montelle/pure-lace-racer/2523
143,kelly pink,nylon and spandex,1624,slight pushup,$45 ,5.0,demi bra,demi,default,CalvinKlein_SeductiveComfort_F2892_KellyPink.jpg,https://trueandco.com/bras/calvin-klein/seductive-comfort/1624
144,edison blue,nylon and spandex,1625,slight pushup,$45 ,5.0,demi bra,demi,default,SeductiveComfort_66402_EdisonBlue.jpg,https://trueandco.com/bras/calvin-klein/seductive-comfort/1625
145,berry blue,"nylon, spandex, and rayon",1460,lightly lined cup,$48 ,4.0,demi,demi,default,BetseyJohnson_EyeletLace_Blue.jpg,https://trueandco.com/bras/betsey-johnson/eyelet-lace/1460
146,wild orchid,nylon and spandex,1857,lightly lined cup,$52 ,4.0,full coverage bra,full,default,PurePlus9020WildOrchid.jpg,https://trueandco.com/bras/montelle/pure-plus/1857
147,seaport,"nylon, spandex, and polyester",3093,lightly lined cup,$56 ,,longline demi bra,demi,longline,SWIBL_WeWereVoodoo_Bra_Seaport.jpg,https://trueandco.com/bras/she-walks-in-beauty-light/stardust/3093
148,navy,allover lace,528,unlined cup,$45 ,4.0,plunge,plunge,default,Lelieve_Feel_Good_994_Navy.jpg,https://trueandco.com/bras/leilieve/feel-good/528
149,black,"nylon, polyester, and elastane",1184,unlined cup,$59 ,4.0,wirefree encapsulation sports bra,default,wirefree,ShockAbsorber_Classic_Support_SN109_Black.jpg,https://trueandco.com/bras/shock-absorber/classic-support/1184
150,star sapphire,nylon,1382,slight pushup,$46 ,4.0,demi bra,demi,default,OG_GossamerMesh_3201_StarSapphire.,https://trueandco.com/bras/ongossamer/gossamer-mesh/1382
151,seascape with celery,nylon and elastane,1604,slight pushup,$42 ,4.0,demi bra,demi,default,DKNY_SuperSleeks_443173_BlueGreen.jpg,https://trueandco.com/bras/dkny/super-sleeks/1604
