Color,Fabric,Id,Padding,Price,Rating,Style,StyleOutput,Preference
nude,silicone,611,lightly lined cup,$75 ,4,strapless,default,strapless
nude,"nylon, spandex, polyester",89,lightly lined cup,$68 ,4,convertible strapless bra,default,strapless
cabernet grove,"pima cotton, modal, and spandex",3226,unlined cup,$24 ,5,tank bralette,default,bralette
nude,nylon and elastane,722,slight pushup,$46 ,4,multi-way demi with removable pads,demi,multiway
cafe,nylon and spandex,1837,lightly lined cup,$60 ,4,demi bra,demi ,default
black,nylon and spandex,1234,lightly lined cup,$68 ,4,demi bra,demi ,default
powder,"nylon, polyester, and spandex",1053,unlined cup,$60 ,4,unlined demi,demi,default
black/cafe,"nylon, spandex, polyester",88,lightly lined cup,$68 ,4,convertible strapless bra,default,strapless
crush,polyester and spandex,2768,lightly lined cup,$46 ,4,compression sports bra,full ,default
hot pink polka dot,"nylon, polyester, and spandex",2526,unlined cup,$72 ,3,full coverage longline bra,full ,default
naturally nude,"nylon, spandex",3139,lightly lined cup,$65 ,5,full coverage,full ,default
naturally nude,"nylon, spandex",3141,lightly lined cup,$60 ,5,"lined, contour cup demi",demi,default
black,nylon and spandex,744,maximum pushup,$48 ,4,wirefree push-up,default,wirefree
cerulean blue/morning glory,polyester and spandex,2758,lightly lined cup,$64 ,5,encapsulation sports bra,full ,sports
black,"nylon, elastane",2573,unlined cup,$50 ,4,full coverage,full ,default
black,"nylon, elastane, cotton",356,unlined cup,$62 ,4,full coverage bra,full ,default
royal,nylon and spandex,465,medium pushup,$45 ,4,demi bra,demi ,default
deep sea blue,nylon and spandex,2317,lightly lined cup,$68 ,5,plunge,plunge ,default
black/pink lightening,nylon and spandex,1795,lightly lined cup,$48 ,4,longline bra,default,longline
black,"nylon, elastane",3197,lightly lined cup,$46 ,5,t-shirt bra,default,t-shirt
burgundy,nylon and spandex,2319,lightly lined cup,$68 ,5,plunge,plunge ,default
crimson,polyester and spandex,2774,lightly lined cup,$56 ,4,wirefree encapsulation sports bra,default,wirefree
black,"poylester, nylon, and spandex",640,unlined cup,$58 ,4,demi bra,demi ,default
cappuccino,"nylon, polyester, and spandex",1352,lightly lined cup,$76 ,4,full coverage bra,full ,default
black,polyester and spandex,1658,lightly lined cup,$56 ,5,wirefree encapsulation sports bra,default,wirefree
powder,"polyamide, polyester, elastane",1051,slight pushup,$60 ,4,demi bra,demi ,default
mauve,cotton,638,unlined cup,$38 ,3,demi bra,demi ,default
cobalt,"polyester, spandex and nylon",1841,lightly lined cup,$60 ,4,plunge bra,plunge ,default
passion pink,nylon and spandex,1455,lightly lined cup,$68 ,5,full coverage,full ,default
delilah,nylon and spandex,1627,lightly lined cup,$42 ,4,demi bra,demi ,default
black,lace,527,unlined cup,$45 ,4,plunge,plunge ,default
champagne,nylon,1166,slight pushup,$46 ,4,demi bra,demi ,default
black,nylon and spandex,2523,lightly lined cup,$52 ,4,racerback,default,racerback
kelly pink,nylon and spandex,1624,slight pushup,$45 ,5,demi bra,demi ,default
edison blue,nylon and spandex,1625,slight pushup,$45 ,5,demi bra,demi ,default
berry blue,"nylon, spandex, and rayon",1460,lightly lined cup,$48 ,4,demi,demi,default
wild orchid,nylon and spandex,1857,lightly lined cup,$52 ,4,full coverage bra,full ,default
seaport,"nylon, spandex, and polyester",3093,lightly lined cup,$56 ,,longline demi bra,demi,longline
navy,allover lace,528,unlined cup,$45 ,4,plunge,plunge ,default
black,"nylon, polyester, and elastane",1184,unlined cup,$59 ,4,wirefree encapsulation sports bra,default,wirefree
star sapphire,nylon,1382,slight pushup,$46 ,4,demi bra,demi ,default
seascape with celery,nylon and elastane,1604,slight pushup,$42 ,4,demi bra,demi ,default
jacarta,nylon and spandex,1394,lightly lined cup,$52 ,4,full coverage bra,full ,default
black,nylon and spandex,1731,unlined cup,$45 ,4,full coverage plunge,full ,default
black,nylon and spandex,130,slight pushup,$45 ,4,demi bra,demi ,default
true blue,"poylester, nylon, and spandex",1395,unlined cup,$58 ,4,full coverage bra,full ,default
pegmatite,nylon and spandex,1785,lightly lined cup,$44 ,4,plunge bra ,plunge ,default
wild orchid,nylon and spandex,1849,unlined cup,$45 ,4,demi bra,demi ,default
naturally nude,"nylon, spandex",3145,lightly lined cup,$48 ,,full coverage,full ,default
buttercup,nylon and spandex,1450,lightly lined cup,$64 ,5,demi bra,demi ,default
